epoch,train_mse,valid_mse
1,0.730665587860605,1.56917405128479
2,1.4453304941239564,0.4620959162712097
3,0.3477143360220868,0.44675350189208984
4,0.2775963402312735,0.6169989705085754
5,0.25368365256682684,0.6608175039291382
6,0.31633803377980774,1.0265984535217285
7,0.4228670726651731,0.4818512499332428
8,0.3097027864145196,0.4988328814506531
9,0.287038398825604,0.6910706758499146
10,0.2690257754014886,0.4728269577026367
11,0.2243074075035427,0.47608011960983276
12,0.2315308866293534,0.6172738075256348
13,0.2044636555339979,0.5705572366714478
